domain,dimension,label,code,parent_1,parent_2,definition,definition_suggested,source
Targets,Target area,Net zero target,T_Netzero,,,This parameter captures any economy-wide net zero targets.,,
Targets,Target area,Overall mitigation target,T_Economy,,,A reduction target for greenhouse gas emissions (covering CO2 and other relevant greenhouse gases) has been set for the whole economy or collectively for all sectors covered in the document.,,
Targets,Target area,Transport sector mitigation target,T_Transport,,,A greenhouse gas emission mitigation target has been set for transport or a transport subsector on the national level.,,
Targets,Target area,Transport sector adaptation target,T_Adaptation,,,A quantifiable target has been set for transport adaptation and resilience on the national level.,,
Targets,Target area,Energy sector target,T_Energy,,,A mitigation target for the energy sector (and thus indirectly for transport) has been adopted on the national level. Any transport-related figure presented within the energy target is counted exclusively as a transport target.,,
Targets,Conditionality,Unconditional,T_Unconditional,,,This target is not conditional or contingent upon any other developments.,,
Targets,Conditionality,Conditional,T_Conditional,,,This target is conditional or contingent upon international/external support.,,
Targets,Conditionality,Unclear conditionality,T_Unclear,,,The document is not clear whether the target is unconditional or conditional.,,
Targets,GHG target?,GHG,T_GHG,,,The target specifies a value in terms of GHG that will be reduced or avoided,,
Targets,GHG target?,Non-GHG,T_NONGHG,,,The target DOES NOT specifiy a value in terms of GHG that will be reduced or avoided,,
Targets,Target type,GHG: Base year,T_BYE,,T_GHG,"A commitment to reduce, or control the increase of, emissions by a specified quantity relative to a historical base year. For example, a 25% reduction from 1990 levels by 2020. These are sometimes referred to as “absolute” targets.",,
Targets,Target type,GHG: BAU,T_BAU,,T_GHG,A commitment to reduce emissions by a specified quantity relative to a projected emissions baseline scenario,,
Targets,Target type,GHG: Fixed level,T_FL,,T_GHG,"A commitment to reduce, or control the increase of, emissions to a specified emissions quantity in a target year/period. Fixed-level target include carbon neutrality targets or phase-out targets, which aim to reach zero net emissions by a specified date. For example, zero net emissions by 2050.",,
Targets,Target type,GHG: Base year intensity,T_BYI,,T_GHG,"A commitment to reduce emissions intensity (emissions per unit of another variable, typically GDP) by a specified quantity relative to a historical base year. For example, a 40% reduction below 1990 base year intensity by 2020.",,
Targets,Target type,GHG: Trajectory,T_TRA,,T_GHG,"A commitment to reduce, or control the increase of, emissions to specified emissions quantities in multiple target years or periods over a long time period (such as targets for 2020, 2030, and 2040 over the period 2020- 2050). Trajectory targets also include “peak-and decline” targets.",,
Targets,Target type,Other GHG targets,T_Other,,T_GHG,GHG targets that do not fit in any other indicator,,
Targets,Target type,Renewable energy,T_E_REN,T_Energy,T_NONGHG,A mitigation target for renewable energy such as capacity or production targets,,
Targets,Target type,Other non-GHG energy targets,T_E_ENERGY,T_Energy,T_NONGHG,Other non-GHG energy targets,,
Targets,Target type,Avoid targets,T_O_AVOID,T_Transport,T_NONGHG,Non-GHG transport targets only: targets related to avoided travel,,
Targets,Target type,Mode share targets,T_O_MODE,T_Transport,T_NONGHG,Non-GHG transport targets only: targets related to changes in mode share,,
Targets,Target type,Infrastructure targets,T_O_INFRA,T_Transport,T_NONGHG,Non-GHG transport targets only: targets related to infrastructure investment or specific amounts of infrastructure constructed,,
Targets,Target type,Vehicle efficiency targets,T_O_EFF,T_Transport,T_NONGHG,Non-GHG transport targets only: targets related to changes in vehicle efficiency,,
